Frame,Momentum
6,0
7,0
8,-1.495
9,-12.417
10,-27.475
11,-43.965
12,-59.689
13,-56.324
14,-55.346
15,-53.53
16,-39.23
17,-22.646
18,-11.312
19,3.227
20,26.238
21,85.589
22,123.4
23,200.87
24,276.342
25,353.353
26,437.708
27,513.483
28,590.031
29,661.248
30,721.672
31,778.713
32,814.611
33,844.769
34,869.079
35,914.252
36,948.272
37,973.078
38,1006.867
39,1058.451
40,1096.041
41,1117.542
42,1150.065
43,1177.723
44,1193.597
45,1202.278
46,1187.43
47,1166.579
48,1150.403
49,1128.766
50,1099.247
51,1064.195
52,1034.842
53,999.572
54,963.788
55,925.709
56,851.894
57,753.69
58,658.785
59,568.346
60,468.126
61,385.37
62,321.313
63,227.713
64,165.635
